Name,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,SizeOfImage,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,Malware,SuspiciousNameSection,SectionsLength,SectionMinEntropy,SectionMaxEntropy,SectionMinRawsize,SectionMaxRawsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMaxPhysical,SectionMinPhysical,SectionMaxVirtual,SectionMinVirtual,SectionMaxPointerData,SectionMinPointerData,SectionMaxChar,SectionMainChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryExport,ImageDirectoryEntryImport,ImageDirectoryEntryResource,ImageDirectoryEntryException,ImageDirectoryEntrySecurity
69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,208,34404,3,862303488,0,0,240,8226,523,14,20,0,2560,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,1024,22314,16384,3,352,262144,4096,1048576,4096,0,16,0,0,3,1.1099075713222712,0,512,0,172,0,1216,0,12288,0,2048,0,1073741888,0,0,0,0,4192,0,12288,0,3584
6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,208,34404,3,868140066,0,0,240,8226,523,14,20,0,2560,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,1024,60113,16384,3,352,262144,4096,1048576,4096,0,16,0,0,3,1.0656029654176464,0,512,0,164,0,1232,0,12288,0,2048,0,1073741888,0,0,0,0,4192,0,12288,0,3584
aadauthhelper.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,7,2970139665,0,0,240,8226,523,14,20,302080,159744,0,285008,4096,6442450944,4096,512,10,0,10,0,10,0,1024,508596,483328,3,16736,262144,4096,1048576,4096,0,16,0,0,7,1.4577430147751123,0,512,0,416,0,301771,0,479232,0,458752,0,3221225536,0,37,211,10,438464,438888,475136,458752,0
aadcloudap.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,256,34404,7,1413445865,0,0,240,8226,523,14,20,685056,310784,0,661360,4096,6442450944,4096,512,10,0,10,0,10,0,1024,1051565,1015808,3,16864,262144,4096,1048576,4096,0,16,0,0,7,1.7936410568059977,0,1024,0,672,0,684736,0,1011712,0,991744,0,3221225536,0,44,270,3,940080,940228,983040,958464,0
aadjcsp.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,6,4027921771,0,0,240,8226,523,14,20,65024,34816,0,63680,4096,6442450944,4096,512,10,0,10,0,10,0,1024,140241,114688,3,16736,262144,4096,1048576,4096,0,16,0,0,6,3.2135804948600986,0,1024,0,552,0,64823,0,110592,0,97280,0,3221225536,0,25,110,1,89088,89168,106496,102400,0
aadtb.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,8,4176994849,0,0,240,8226,523,14,20,814080,607232,0,702048,4096,6442450944,4096,512,10,0,10,0,6,0,1024,1453248,1445888,2,16736,1048576,4096,1048576,4096,0,16,0,0,8,0.10191042566270775,0,512,0,16,0,813356,0,1433600,0,1407488,0,3221225536,0,45,334,7,1188064,1188312,1339392,1294336,0
aadWamExtension.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,7,2993006032,0,0,240,8226,523,14,20,81408,64512,0,76432,4096,6442450944,4096,512,10,0,10,0,10,0,1024,201114,159744,3,16736,262144,4096,1048576,4096,0,16,0,0,7,1.055942681775954,0,512,0,160,0,80971,0,155648,0,143872,0,3221225536,0,25,130,3,109552,109700,126976,118784,144896
AarSvc.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,256,34404,6,1291901944,0,0,240,8226,523,14,20,203776,241152,0,193584,4096,6442450944,4096,512,10,0,10,0,10,0,1024,456211,458752,3,16736,262144,4096,1048576,4096,0,16,0,0,6,2.874375612936346,0,1536,0,1288,0,203596,0,450560,0,437760,0,3221225536,0,35,170,4,348048,348212,446464,434176,0
AboutSettingsHandlers.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,7,3949199075,0,0,240,8226,523,14,20,321536,113152,0,312864,4096,6442450944,4096,512,10,0,10,0,10,0,1024,501885,458752,3,16736,262144,4096,1048576,4096,0,16,0,0,7,0.79702971194726,0,512,0,136,0,321184,0,450560,0,428032,0,3221225536,0,50,193,1,406976,407064,446464,430080,432640
AboveLockAppHost.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,256,34404,7,986928300,0,0,240,8226,523,14,20,262656,158720,0,54480,4096,6442450944,4096,512,10,0,10,0,10,0,1024,469372,442368,2,16736,262144,4096,1048576,4096,0,16,0,0,7,0.15517757530476972,0,512,0,32,0,262219,0,434176,0,413184,0,3221225536,0,45,240,3,389056,389208,430080,405504,0
